0	
28.53	0	
28.53	0	
28.53	0	
28.53	0	
28.53	0	
28.46	0	
28.46	0	
28.53	0	
28.53	0	
28.53	0	
28.53	0	
28.53	0	
28.53	0	
28.46	0	
28.46	0	
28.53	0	
28.53	0	
28.53	0	
28.46	0	
28.53	0	
28.46	0	
28.53	0	
28.53	0	
28.53	0	
28.46	0	
28.46	0	
28.53	0	
28.32	0	
28.81	0	
28.95	0	
29.44	0	
7.08	0	
31.74	0	
28.88	0	
28.88	0	
28.39	0	
28.46	0	
32.02	0	
81.76	0	
28.88	0	
28.46	0	
28.46	0	
28.46	0	
28.46	0	
28.46	0	
28.95	0	
28.46	0	
28.46	0	
28.46	0	
28.46	0	
28.46	0	
28.39	0	
28.46	0	
28.46	0	
28.46	0	
28.46	0	
28.46	0	
28.46	0	
28.46	0	
28.46	0	
28.46	0	
28.74	0	
28.11	0	
28.18	0	
27.69	0	
28.88	0	
28.25	0	
28.25	0	
27.48	0	
26.36	0	
25.04	0	
23.29	0	
22.24	0	
21.33	0	
20.50	0	
19.66	0	
18.26	0	
17.91	0	
17.63	0	
16.03	0	
16.30	0	
15.68	0	
15.12	0	
14.14	0	
13.65	0	
13.02	0	
12.53	0	
11.97	0	
11.76	0	
10.30	0	
10.37	0	
9.46	0	
10.09	0	
9.46	0	
8.97	0	
9.46	0	
9.53	0	
9.60	0	
10.23	0	
10.30	0	
10.23	0	
9.46	0	
9.46	0	
9.95	0	
10.16	0	
10.30	0	
10.93	0	
10.72	0	
11.55	0	
11.62	0	
12.32	0	
13.09	0	
14.42	0	
15.12	0	
15.26	0	
16.23	0	
16.23	0	
17.21	0	
17.70	0	
17.63	0	
17.84	0	
18.19	0	
19.10	0	
19.17	0	
20.08	0	
20.08	0	
21.12	0	
21.68	0	
22.24	0	
22.87	0	
23.50	0	
24.76	0	
25.46	0	
26.43	0	
26.85	0	
26.78	0	
26.64	0	
26.16	0	
26.22	0	
26.22	0	
26.16	0	
26.22	0	
26.22	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.57	0	
26.64	0	
26.64	0	
26.16	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.57	0	
26.64	0	
26.57	0	
26.64	0	
26.57	0	
26.64	0	
26.09	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.57	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.57	0	
26.57	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.57	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.57	
