22.61	
37.54	22.54	
37.54	22.54	
37.54	22.54	
37.54	22.54	
37.54	22.54	
37.54	22.54	
37.54	22.54	
37.61	22.61	
37.54	22.54	
37.54	22.54	
37.61	22.61	
37.61	22.61	
37.54	22.54	
37.54	22.54	
37.54	22.54	
37.12	22.12	
37.54	22.54	
37.54	22.54	
37.61	22.61	
37.54	22.54	
37.54	22.54	
37.54	22.54	
37.12	22.12	
37.05	22.05	
37.54	22.54	
37.54	22.54	
37.05	22.05	
37.54	22.54	
37.54	22.54	
37.05	22.05	
37.05	22.05	
37.12	22.12	
37.05	22.05	
37.47	
