1744	0.00	0.00	0.00	0.00	0.00
1761	0.00	0.00	0.00	0.00	0.00
1777	0.00	0.00	0.00	0.00	0.00
1793	0.00	0.00	0.00	0.00	0.00
1809	0.00	0.00	0.00	0.00	0.00
1824	0.00	0.00	0.00	0.00	0.00
1841	0.00	0.00	0.00	0.00	0.00
1857	0.00	0.00	0.00	0.00	0.00
1872	0.00	0.00	0.00	0.00	0.00
1889	0.00	0.00	0.00	0.00	0.00
1905	0.00	0.00	0.00	0.00	0.00
1921	0.00	0.00	0.00	0.00	0.00
1937	0.00	0.00	0.00	0.00	0.00
1952	0.00	0.00	0.00	0.00	0.00
1969	0.00	0.00	0.00	0.00	0.00
1985	0.00	0.00	0.00	0.00	0.00
2000	0.00	0.00	0.00	0.00	0.00
2017	0.00	0.00	0.00	0.00	0.00
2033	0.00	0.00	0.00	0.00	0.00
2049	0.00	0.00	0.00	0.00	0.00
2065	0.00	0.00	0.00	0.00	0.00
2080	0.00	0.00	0.00	0.00	0.00
2097	0.00	0.00	0.00	0.00	0.00
2113	0.00	0.00	0.00	0.00	0.00
2128	0.00	0.00	0.00	0.00	0.00
2145	0.00	0.00	0.00	0.00	0.00
2161	0.00	0.00	0.00	0.00	0.00
2177	0.00	0.00	0.00	0.00	0.00
2193	0.00	0.00	0.00	0.00	0.00
2208	0.00	0.00	0.00	0.00	0.00
2225	0.00	0.00	0.00	0.00	0.00
2241	0.00	0.00	0.00	0.00	0.00
2256	0.00	0.00	0.00	0.00	0.00
2273	0.00	0.00	0.00	0.00	0.00
2289	0.00	0.00	0.00	0.00	0.00
2305	0.00	0.00	0.00	0.00	0.00
2321	0.00	0.00	0.00	0.00	0.00
2336	0.00	0.00	0.00	0.00	0.00
2353	0.00	0.00	0.00	0.00	0.00
2369	0.00	0.00	0.00	0.00	0.00
2384	0.00	0.00	0.00	0.00	0.00
2401	0.00	0.00	0.00	0.00	0.00
2417	0.00	0.00	0.00	0.00	0.00
2433	0.00	0.00	0.00	0.00	0.00
2449	0.00	0.00	0.00	0.00	0.00
2464	0.00	0.00	0.00	0.00	0.00
2481	0.00	0.00	0.00	0.00	0.00
2497	0.00	0.00	0.00	0.00	0.00
2512	0.00	0.00	0.00	0.00	0.00
2529	0.00	0.00	0.00	0.00	0.00
2545	0.00	0.00	0.00	0.00	0.00
2561	0.00	0.00	0.00	0.00	0.00
2577	0.00	0.00	0.00	0.00	0.00
2592	0.00	0.00	0.00	0.00	0.00
2609	0.00	0.00	0.00	0.00	0.00
2625	0.00	0.00	0.00	0.00	0.00
2640	0.00	0.00	0.00	0.00	0.00
2657	0.00	0.00	0.00	0.00	0.00
